"url","pic_url","name","time","career","printdate","onlinedate","abstract"
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5001696?rskey=PCOHdi&result=1","/cover/searchableMedia/anb-9780198606697-e-5001696-graphic-1-thumbnail.jpg","Abbot, Charles Greeley","1872-1973","astronomer","1999","1999","Charles G. Abbot [left to right] Charles G. Abbot and Floyd Karker Richtmyer at the National Academy of Sciences meeting in Cleveland, OH, 1934. Courtesy of the Library of Congress (LC-USZ62-114340)."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5000826?rskey=PCOHdi&result=2","/cover/searchableMedia/anb-9780198606697-e-5000826-graphic-1-thumbnail.jpg","Abbott, Grace","1878-1939","social worker and administrator","1999","1999","Grace Abbott  Courtesy of the Library of Congress (LC-USZ62-111723)."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5003105?rskey=PCOHdi&result=3","/cover/searchableMedia/anb-9780198606697-e-5003105-graphic-1-thumbnail.jpg","Abernathy, Ralph David","1926-1990","civil rights leader and minister","1999","1999","Ralph Abernathy Photograph by Warren K. Leffler, 1968. Courtesy of the Library of Congress (U.S. News and World Report Collection: LC-U9-19265)."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5002027?rskey=PCOHdi&result=4","/cover/searchableMedia/anb-9780198606697-e-5002027-graphic-1-thumbnail.jpg","Abrams, Creighton Williams, Jr.","15 September 1914–04 September 1974","army officer","1999","1999","Creighton W. Abrams [left to right] President Lyndon Johnson and Creighton W. Abrams (1968) at a White House briefing on the war in Vietnam, 1968. Courtesy of the National Archives (NWDNS-306-PSA-68[3528])."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5001960?rskey=PCOHdi&result=5","/cover/searchableMedia/anb-9780198606697-e-5001960-graphic-1-thumbnail.jpg","Abzug, Bella","1920-1998","lawyer, feminist leader, and U.S. representative","","","Bella Abzug. Campaign poster. Courtesy of the Library of Congress (LC-USZ62-109588)."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5002020?rskey=PCOHdi&result=6","/cover/searchableMedia/anb-9780198606697-e-5002020-graphic-1-thumbnail.jpg","Acheson, Dean Gooderham","11 April 1893–12 October 1971","lawyer and secretary of state","1999","1999","Dean Acheson.  Courtesy of the Library of Congress (LC-USZ62-94484)."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5001488?rskey=PCOHdi&result=7","/cover/searchableMedia/anb-9780198606697-e-5001488-graphic-1-thumbnail.jpg","Acosta, Bertrand Blanchard","1895-1954","aviation pioneer","1999","1999","Bert Acosta.  Courtesy of the Library of Congress (LC-USZ62-94370)."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5000034?rskey=PCOHdi&result=8","/cover/searchableMedia/anb-9780198606697-e-5000034-graphic-1-thumbnail.jpg","Adams, Abigail","1744-1818","first lady and woman of intellect","1999","1999","Abigail Adams. After a painting by Gilbert Stuart. Courtesy of the Library of Congress (LC-USZ62-10016 DLC)."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5005096?rskey=PCOHdi&result=9","/cover/searchableMedia/anb-9780198606697-e-5005096-graphic-1-thumbnail.jpg","Adams, Charles Francis","1807-1886","politician and diplomat","1999","1999","Charles Francis Adams. Albumen silver print, c. 1860, by Mathew B. Brady. National Portrait Gallery, Smithsonian Institution."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5000814?rskey=PCOHdi&result=10","/cover/searchableMedia/anb-9780198606697-e-5000814-graphic-1-thumbnail.jpg","Adams, Charles Francis","1835-1915","railroad official, civic leader, and historian","1999","1999","Charles Francis Adams, Jr. During his Civil War service. Courtesy of the Library of Congress (LC-B8171-7390)."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5004668?rskey=SBrzsH&result=11","/cover/searchableMedia/anb-9780198606697-e-5004668-graphic-1-thumbnail.jpg","Adams, Don","1923-2005","comedian and actor","","","Don Adams. With Barbara Feldon, on the set of the spoof spy showGet Smart, 10 September 1965. Courtesy of AP Images."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5001560?rskey=SBrzsH&result=12","/cover/searchableMedia/anb-9780198606697-e-5001560-graphic-1-thumbnail.jpg","Adams, Grizzly","1812-1860","mountain man and wild animal tamer","1999","1999","Grizzly Adams. Illustration from T. H. Hittell, The Adventures of James Capen Adams, Mountaineer and Grizzly Bear Hunter of California, 1860. Courtesy of the Library of Congress (LC-USZ62-92873)."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5005840?rskey=SBrzsH&result=13","/cover/searchableMedia/anb-9780198606697-e-5005840-graphic-1-thumbnail.jpg","Adams, Harriet Chalmers","22 October 1875–17 July 1937)","","","","Harriet Chalmers Adams. Harriet Chalmers Adams. Harriet Chalmers Adams, 1908. Glass negative. Courtesy of the Library of Congress (LC-DIG-npcc-19900)."
