"Accounting, Finance & Economics","https://www.emeraldinsight.com/doi/book/10.1108/s1574-8715%282010%298","Volume 8 - Migration and Culture","978-0-85724-153-5","978-0-85724-154-2","Gil S. Epstein, Ira N. Gang","2010","","Part I: Enclaves and Location Choice;Part II: Production, Earnings and Competition;Part III: Assimilation Struggles;Part IV: Family Issues and the Effects of Remittances;Part V: Selection, Attitudes and Public Policy","Frontiers of Economics and Globalization","1574-8715","Professor Hamid Beladi, Professor E. Kwan Choi","Accounting, Finance & Economics","1022-2529","Accounting, Finance & Economics"
"Sociology","https://www.emeraldinsight.com/series/sn","","978-1-78769-716-4","978-1-78769-713-3","Jennifer M. Lehmann","2018","Anselm Strauss observed 40 years ago that the idea of social world was suffering from weak conceptualization and application to those areas of social life where this formation figures prominently in everyday activities. This book provides a coherent statement about what social worlds consist of, what they do, where they fit in social theory.","","Society Now","0278-1204","Dr Harry Dahms","Sociology","1871-2673","Sociology"
"Engineering","https://www.emeraldinsight.com/loi/ijius","International Journal of Intelligent Unmanned Systems","","","","","","","Emerald Reach Proceedings Series","2516-2853","","Engineering","2049-6427","Engineering"
"HR, Learning & Organization Studies","https://www.emeraldinsight.com/doi/book/10.1108/s0882-6145201633","Volume 33 - Advances in Group Processes","978-1-78635-042-8","978-1-78635-041-1","Shane R. Thye, Edward J. Lawler","2016","","","Advances in Group Processes","0882-6145","S.R.Thye and Edward Lawler","HR, Learning & Organization Studies","1012-8255","HR, Learning & Organization Studies"
"Accounting, Finance & Economics","https://www.emeraldinsight.com/loi/sef","Studies in Economics and Finance","978-1-78635-274-3","978-1-78635-273-6","Steven Horwitz","2016","","Part I: Austrian Monetary and Business Cycle Theory;Part II: The US and Canadian Experience Compared;Part III: The Political Economy of Regulation and Crisis","Advances in Austrian Economics","1529-2134","Daniel D’Amico; Adam Martin","Accounting, Finance & Economics","1086-7376","Accounting, Finance & Economics"
"HR, Learning & Organization Studies","https://www.emeraldinsight.com/doi/book/10.1108/s0742-6186%282009%2916","Volume 16 - Advances in Industrial & Labor Relations","978-1-84855-396-5","978-1-84855-397-2","David Lewin, Bruce E. Kaufman","2009","","","Advances in Industrial and Labor Relations","0742-6186","David Lewin and Paul Gollan","HR, Learning & Organization Studies","1012-8255","HR, Learning & Organization Studies"
"Sociology","https://www.emeraldinsight.com/doi/book/10.1108/s0278-1204%282010%2927","Volume 27 - Theorizing the Dynamics of Social Processes","978-0-85724-223-5","978-0-85724-224-2","Harry F. Dahms, Lawrence Hazelrigg","2010","","Part I: The Dynamics of Process Between Social Science and Social Theory;Part II: Theorizing Process: Class, Social Inequality, and a New Reading of Marx;Part III: Theorizing “Globalization”;Part IV: Theorizing Two Specific Social Processes: Anti-Semitism and Architecture","Current Perspectives in Social Theory","0278-1204","Dr Harry Dahms","Sociology","1871-2673","Sociology"
"Accounting, Finance & Economics","https://www.emeraldinsight.com/doi/book/10.1016/s0161-7230%282001%2919","Volume 19 - Marx's Capital and Capitalism; Markets in a Socialist Alternative","978-0-7623-0838-5","978-1-84950-133-0","Paul Zarembka","2001","","","Research in Political Economy","0161-7230","Professor Paul Zarembka","Public Policy & Environmental Management","0307-4358","Public Policy & Environmental Management"
"HR, Learning & Organization Studies","https://www.emeraldinsight.com/doi/book/10.1108/s0742-7301201533","Volume 33 - Research in Personnel and Human Resources Management","978-1-78560-017-3","978-1-78560-016-6","M. Ronald Buckley, Anthony R. Wheeler, Jonathon R. B. Halbesleben","2015","","","Research in Personnel and Human Resources Management","0742-7301","M. Ronald Buckley, Jonathon R. B. Halbesleben, Anthony R. Wheeler","HR, Learning & Organization Studies","0048-3486","HR, Learning & Organization Studies"
"Sociology","https://www.emeraldinsight.com/doi/book/10.1016/s1057-1922%282005%2910","Volume 10 - Nature, Raw Materials, and Political Economy","978-0-7623-1162-0","978-1-84950-314-3","Paul S. Ciccantell, David A. Smith, Gay Seidman","2005","","Part I: Theoretical Foundations;Part II: Commodities, Extraction and Frontiers;Part III: Connecting Political and Economic Change","Research in Rural Sociology and Development","1057-1922","Professor Terry Marsden","Sociology","2050-8824","Sociology"
"Education","https://www.emeraldinsight.com/doi/book/10.1016/s1479-3660%282004%297","Volume 7 - Administering Special Education: In Pursuit of Dignity and Autonomy","978-0-7623-1145-3","978-1-84950-298-6","Kern Alexander, Richard C. Hunter","2004","","","Advances in Educational Administration","1479-3660","Anthony H. Normore, Ph.D.","Education","1055-4769","Education"
"Transport","https://www.emeraldinsight.com/doi/book/10.1108/9781780522012","New Perspectives and Methods in Transport and Social Exclusion Research","978-1-78052-200-5","978-1-78052-201-2","Graham Currie","2011","This book presents findings of a highly successful, international research project exploring links between social exclusion (SE), transport disadvantage (TD) and psychological well being (WB).","SECTION 1. INTRODUCTION;SECTION 2. RESEARCH IN CONTEXT;SECTION 3. METHODOLOGY DEVELOPMENT;SECTION 4. FIELD SURVEY RESULTS;SECTION 5. NEW ANALYTICAL PERSPECTIVES;SECTION 6. INTERNATIONAL AND POLICY PERSPECTIVES;SECTION 7. CONCLUSIONS","Handbooks in Transport","1472-7889","David A. Hensher and Kenneth J. Button","Transport","1750-6220","Transport"
"Information & Knowledge Management","https://www.emeraldinsight.com/series/das","","978-1-78756-015-4","978-1-78756-014-7","Mark Hepworth, Geoff Walton","2018","This book offers fresh insights on digital activism and cyberconflicts through a comparison of sociopolitical and ethnoreligious movements in Nigeria. Occupy Nigeria, Boko Haram and The Movement for the Emancipation of the Niger Delta (MEND) highlight the digital and organizational aspects of conflict mobilization in contemporary Nigeria.","","Digital Activism and Society","1876-0562","Professor Jens-Erik Mai","Information & Knowledge Management","2514-9288","Information & Knowledge Management"
"Transport","https://www.emeraldinsight.com/doi/book/10.1108/9780080506562","Flexible Urban Transportation","978-0-08-044053-8","978-0-08-050656-2","Amanda Root","2003","Flexible Urban Transportation is a sweeping reassessment of American highway and transit policy. This cogent evaluation of how American transportation planning got to where it is today, and its proposal for an adaptive transportation decision-making process, is required reading for those concerned about the problems and prospects of transportation today.","","Transport and Sustainability","2044-9941","Stephen Ison, Maria Attard and Jon Shaw","Transport,","1750-6220","Transport,"
